,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,6,90,0.11609977324263039,1.9736961451247166,6.0,20.0,116,2.0,84
1,6,71,0.11609977324263039,2.716734693877551,6.0,29.0,129,3.0,65
2,6,218,0.11609977324263039,1.9272562358276644,6.0,20.0,226,2.0,212
3,6,217,0.11609977324263039,2.066575963718821,6.0,18.0,227,2.0,211
4,6,492,0.11609977324263039,1.9040362811791383,6.0,0.0,492,2.0,486
5,6,471,0.11609977324263039,2.043356009070295,6.0,3.0,472,2.0,465
6,90,120,1.9736961451247166,3.575873015873016,20.0,30.0,75,2.0,30
7,90,88,1.9736961451247166,4.133151927437642,20.0,29.0,93,2.0,2
8,90,238,1.9736961451247166,3.5526530612244898,20.0,23.0,163,2.0,148
9,90,228,1.9736961451247166,4.017052154195011,20.0,27.0,164,2.0,138
10,90,450,1.9736961451247166,3.4597732426303858,20.0,19.0,366,1.0,360
11,90,589,1.9736961451247166,3.9938321995464854,20.0,3.0,507,2.0,499
12,71,88,2.716734693877551,4.133151927437642,29.0,29.0,63,1.0,17
13,71,144,2.716734693877551,5.61922902494331,29.0,36.0,145,3.0,73
14,71,228,2.716734693877551,4.017052154195011,29.0,27.0,167,1.0,157
15,71,227,2.716734693877551,5.61922902494331,29.0,26.0,200,3.0,156
16,71,523,2.716734693877551,5.596009070294785,29.0,16.0,469,3.0,452
17,120,144,3.575873015873016,5.61922902494331,30.0,36.0,91,2.0,24
18,120,227,3.575873015873016,5.61922902494331,30.0,26.0,139,2.0,107
19,120,236,3.575873015873016,6.362267573696145,30.0,26.0,167,3.0,116
20,120,523,3.575873015873016,5.596009070294785,30.0,16.0,412,2.0,403
21,120,609,3.575873015873016,6.03718820861678,30.0,22.0,500,2.0,489
22,88,144,4.133151927437642,5.61922902494331,29.0,36.0,85,1.0,56
23,88,23,4.133151927437642,6.849886621315193,29.0,26.0,134,3.0,65
24,88,227,4.133151927437642,5.61922902494331,29.0,26.0,153,1.0,139
25,88,236,4.133151927437642,6.362267573696145,29.0,26.0,176,2.0,148
26,88,523,4.133151927437642,5.596009070294785,29.0,16.0,440,1.0,435
27,88,444,4.133151927437642,6.989206349206349,29.0,6.0,377,3.0,356
28,144,23,5.61922902494331,6.849886621315193,36.0,26.0,132,1.0,121
29,144,23,5.61922902494331,7.198185941043084,36.0,26.0,139,2.0,121
30,144,154,5.61922902494331,8.289523809523809,36.0,28.0,115,3.0,10
31,144,225,5.61922902494331,7.9412244897959186,36.0,20.0,129,2.0,81
32,144,239,5.61922902494331,8.266303854875284,36.0,19.0,148,3.0,95
33,144,444,5.61922902494331,6.989206349206349,36.0,6.0,306,1.0,300
34,144,624,5.61922902494331,7.9412244897959186,36.0,1.0,490,2.0,480
35,23,154,6.849886621315193,8.289523809523809,26.0,28.0,145,1.0,131
36,23,31,6.849886621315193,9.1718820861678,26.0,30.0,100,2.0,8
37,23,225,6.849886621315193,7.9412244897959186,26.0,20.0,207,1.0,202
38,23,239,6.849886621315193,8.266303854875284,26.0,19.0,224,1.0,216
39,23,381,6.849886621315193,9.798820861678005,26.0,20.0,380,3.0,358
40,23,433,6.849886621315193,8.846802721088435,26.0,26.0,419,2.0,410
41,23,432,6.849886621315193,9.798820861678005,26.0,21.0,428,3.0,409
42,23,154,7.198185941043084,8.289523809523809,26.0,28.0,139,1.0,131
43,23,31,7.198185941043084,9.1718820861678,26.0,30.0,85,2.0,8
44,23,239,7.198185941043084,8.266303854875284,26.0,19.0,221,1.0,216
45,23,381,7.198185941043084,9.798820861678005,26.0,20.0,375,3.0,358
46,23,237,7.198185941043084,10.100680272108844,26.0,20.0,248,3.0,214
47,23,433,7.198185941043084,8.846802721088435,26.0,26.0,416,2.0,410
48,23,432,7.198185941043084,9.798820861678005,26.0,21.0,424,3.0,409
49,154,83,8.289523809523809,10.820498866213152,28.0,23.0,130,3.0,71
50,154,381,8.289523809523809,9.798820861678005,28.0,20.0,236,2.0,227
51,154,237,8.289523809523809,10.100680272108844,28.0,20.0,114,2.0,83
