,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,7,73,0.2089795918367347,1.9504761904761905,18.0,24.0,100,2.0,66
1,7,73,0.2089795918367347,2.4380952380952383,18.0,25.0,116,2.0,66
2,7,256,0.2089795918367347,2.9257142857142857,18.0,2.0,275,3.0,249
3,73,182,1.9504761904761905,4.365351473922901,24.0,32.0,151,2.0,109
4,73,219,1.9504761904761905,3.599092970521542,24.0,35.0,162,2.0,146
5,73,219,1.9504761904761905,3.993832199546485,24.0,32.0,170,2.0,146
6,73,443,1.9504761904761905,3.8777324263038553,24.0,20.0,379,2.0,370
7,73,504,1.9504761904761905,4.3421315192743775,24.0,22.0,443,2.0,431
8,73,182,2.4380952380952383,4.365351473922901,25.0,32.0,137,2.0,109
9,73,172,2.4380952380952383,5.085170068027211,25.0,29.0,151,3.0,99
10,73,219,2.4380952380952383,3.599092970521542,25.0,35.0,154,1.0,146
11,73,219,2.4380952380952383,3.993832199546485,25.0,32.0,161,2.0,146
12,73,218,2.4380952380952383,5.224489795918368,25.0,27.0,188,3.0,145
13,73,443,2.4380952380952383,3.8777324263038553,25.0,20.0,375,1.0,370
14,73,504,2.4380952380952383,4.3421315192743775,25.0,22.0,439,2.0,431
15,73,506,2.4380952380952383,5.224489795918368,25.0,21.0,449,3.0,433
16,73,172,3.3668934240362813,5.085170068027211,40.0,29.0,124,2.0,99
17,73,87,3.3668934240362813,6.03718820861678,40.0,23.0,116,3.0,14
18,73,218,3.3668934240362813,5.224489795918368,40.0,27.0,166,2.0,145
19,73,249,3.3668934240362813,6.03718820861678,40.0,20.0,210,3.0,176
20,73,506,3.3668934240362813,5.224489795918368,40.0,21.0,440,2.0,433
21,73,419,3.3668934240362813,6.060408163265307,40.0,13.0,365,3.0,346
22,182,87,4.365351473922901,6.03718820861678,32.0,23.0,119,2.0,95
23,182,132,4.365351473922901,7.314285714285713,32.0,21.0,136,3.0,50
24,182,249,4.365351473922901,6.03718820861678,32.0,20.0,98,2.0,67
25,182,224,4.365351473922901,7.198185941043084,32.0,11.0,129,3.0,42
26,182,419,4.365351473922901,6.060408163265307,32.0,13.0,248,2.0,237
27,172,132,5.085170068027211,7.314285714285713,29.0,21.0,104,2.0,40
28,172,224,5.085170068027211,7.198185941043084,29.0,11.0,105,2.0,52
29,172,489,5.085170068027211,7.8947845804988654,29.0,0.0,339,3.0,317
30,87,132,6.03718820861678,7.314285714285713,23.0,21.0,71,1.0,45
31,87,43,6.03718820861678,8.428843537414966,23.0,14.0,112,2.0,44
32,87,224,6.03718820861678,7.198185941043084,23.0,11.0,146,1.0,137
33,87,205,6.03718820861678,8.266303854875284,23.0,11.0,152,2.0,118
34,87,489,6.03718820861678,7.8947845804988654,23.0,0.0,410,2.0,402
35,87,506,6.03718820861678,8.243083900226758,23.0,2.0,430,2.0,419
