,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,77,65,1.5557369614512473,2.972154195011338,13.0,34.0,62,1.0,12
1,77,65,1.5557369614512473,2.9953741496598636,13.0,34.0,63,1.0,12
2,77,65,1.5557369614512473,4.179591836734693,13.0,30.0,114,3.0,12
3,77,251,1.5557369614512473,2.972154195011338,13.0,19.0,184,1.0,174
4,77,235,1.5557369614512473,3.2043537414965986,13.0,23.0,173,2.0,158
5,77,251,1.5557369614512473,4.0402721088435385,13.0,19.0,204,2.0,174
6,77,465,1.5557369614512473,3.1579138321995464,13.0,6.0,394,2.0,388
7,65,19,2.972154195011338,4.992290249433106,34.0,12.0,98,2.0,46
8,65,251,2.972154195011338,4.0402721088435385,34.0,19.0,192,1.0,186
9,65,19,2.9953741496598636,4.992290249433106,34.0,12.0,98,2.0,46
10,65,251,2.9953741496598636,4.0402721088435385,34.0,19.0,191,1.0,186
11,65,197,4.179591836734693,6.664126984126984,30.0,34.0,170,2.0,132
12,65,259,4.179591836734693,6.780226757369615,30.0,35.0,224,3.0,194
13,65,454,4.179591836734693,6.710566893424036,30.0,25.0,404,3.0,389
14,65,420,4.179591836734693,6.9892063492063485,30.0,15.0,375,3.0,355
15,19,197,4.992290249433106,6.664126984126984,12.0,34.0,192,2.0,178
16,19,195,4.992290249433106,7.662585034013605,12.0,31.0,210,3.0,176
17,19,259,4.992290249433106,6.780226757369615,12.0,35.0,252,2.0,240
18,19,232,4.992290249433106,7.825124716553288,12.0,31.0,245,3.0,213
19,19,454,4.992290249433106,6.710566893424036,12.0,25.0,441,2.0,435
20,19,420,4.992290249433106,6.9892063492063485,12.0,15.0,410,2.0,401
21,197,194,6.664126984126984,8.17342403628118,34.0,31.0,65,2.0,3
22,197,201,6.664126984126984,8.986122448979593,34.0,22.0,100,2.0,4
23,197,232,6.664126984126984,7.825124716553288,34.0,31.0,61,1.0,35
24,197,260,6.664126984126984,8.080544217687075,34.0,32.0,88,1.0,63
25,197,231,6.664126984126984,9.009342403628116,34.0,16.0,107,2.0,34
26,197,454,6.664126984126984,8.034104308390022,34.0,9.0,264,1.0,257
27,195,201,7.662585034013605,8.986122448979593,31.0,22.0,57,1.0,6
28,195,77,7.662585034013605,10.565079365079363,31.0,17.0,172,3.0,118
29,195,231,7.662585034013605,9.009342403628116,31.0,16.0,68,1.0,36
30,194,77,8.17342403628118,10.565079365079363,31.0,17.0,156,2.0,117
31,201,77,8.986122448979593,10.565079365079363,22.0,17.0,141,2.0,124
32,201,154,8.986122448979593,11.261678004535149,22.0,13.0,109,2.0,47
33,201,231,8.986122448979593,11.215238095238096,22.0,11.0,101,2.0,30
34,77,190,10.565079365079363,12.120816326530614,17.0,18.0,131,2.0,113
35,77,195,10.565079365079363,13.049614512471654,17.0,22.0,159,2.0,118
36,77,393,10.565079365079363,12.469115646258507,17.0,26.0,326,2.0,316
37,77,428,10.565079365079363,12.469115646258507,17.0,27.0,360,2.0,351
38,154,195,11.261678004535149,13.049614512471654,13.0,22.0,87,2.0,41
39,154,393,11.261678004535149,12.469115646258507,13.0,26.0,245,1.0,239
40,154,389,11.261678004535149,13.862312925170068,13.0,27.0,260,3.0,235
