,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,69,207,0.8126984126984127,2.6238548752834467,15.0,25.0,159,2.0,138
1,69,245,0.8126984126984127,3.5294331065759637,15.0,18.0,211,3.0,176
2,69,439,0.8126984126984127,1.9969160997732427,15.0,0.0,373,1.0,370
3,69,207,1.0913378684807256,2.6238548752834467,32.0,25.0,153,2.0,138
4,69,245,1.0913378684807256,3.5294331065759637,32.0,18.0,205,2.0,176
5,69,246,2.6238548752834467,4.760090702947846,33.0,18.0,199,2.0,177
6,69,246,3.5294331065759637,4.760090702947846,31.0,18.0,185,1.0,177
7,69,231,3.5294331065759637,5.9675283446712015,31.0,18.0,193,2.0,162
8,69,232,3.5294331065759637,6.292607709750567,31.0,18.0,202,3.0,163
9,69,77,4.458231292517007,6.594467120181406,32.0,31.0,92,2.0,8
10,69,77,4.458231292517007,7.2214058956916105,32.0,31.0,119,3.0,8
11,69,231,4.458231292517007,5.9675283446712015,32.0,18.0,175,2.0,162
12,69,232,4.458231292517007,6.292607709750567,32.0,18.0,181,2.0,163
13,69,77,5.061950113378685,6.594467120181406,31.0,31.0,66,2.0,8
14,69,77,5.061950113378685,7.2214058956916105,31.0,31.0,93,2.0,8
15,69,232,5.061950113378685,6.292607709750567,31.0,18.0,171,1.0,163
16,69,232,5.061950113378685,7.8251247165532885,31.0,17.0,202,3.0,163
17,69,414,5.061950113378685,7.500045351473923,31.0,3.0,361,2.0,345
18,77,232,6.594467120181406,7.8251247165532885,31.0,17.0,164,1.0,155
19,77,232,6.594467120181406,8.730702947845804,31.0,20.0,180,2.0,155
20,77,232,7.2214058956916105,8.730702947845804,31.0,20.0,168,2.0,155
21,77,234,7.2214058956916105,9.961360544217687,31.0,26.0,196,3.0,157
22,77,242,7.2214058956916105,10.077460317460318,31.0,33.0,206,3.0,165
23,77,464,7.2214058956916105,9.961360544217687,31.0,19.0,405,3.0,387
24,77,184,8.428843537414966,10.913378684807256,36.0,35.0,151,2.0,107
25,77,185,8.428843537414966,10.983038548752834,36.0,34.0,154,3.0,108
26,77,234,8.428843537414966,9.961360544217687,36.0,26.0,170,2.0,157
27,77,242,8.428843537414966,10.077460317460318,36.0,33.0,180,2.0,165
28,77,207,8.428843537414966,11.3081179138322,36.0,31.0,180,3.0,130
29,77,464,8.428843537414966,9.961360544217687,36.0,19.0,393,2.0,387
30,77,417,8.428843537414966,10.681179138321996,36.0,24.0,354,2.0,340
31,77,184,9.659501133786849,10.913378684807256,33.0,35.0,120,1.0,107
32,77,185,9.659501133786849,10.983038548752834,33.0,34.0,122,1.0,108
33,77,207,9.659501133786849,11.3081179138322,33.0,31.0,148,2.0,130
34,77,272,9.659501133786849,12.353015873015874,33.0,32.0,227,3.0,195
35,77,417,9.659501133786849,10.681179138321996,33.0,24.0,343,1.0,340
36,77,415,9.659501133786849,11.888616780045352,33.0,23.0,351,2.0,338
37,77,411,9.659501133786849,12.283356009070294,33.0,28.0,353,3.0,334
38,184,196,10.913378684807256,12.887074829931972,35.0,34.0,86,2.0,12
39,184,189,10.913378684807256,12.979954648526077,35.0,29.0,89,2.0,5
40,184,272,10.913378684807256,12.353015873015874,35.0,32.0,108,1.0,88
41,184,231,10.913378684807256,13.119274376417234,35.0,31.0,106,2.0,47
42,184,411,10.913378684807256,12.283356009070294,35.0,28.0,235,1.0,227
43,184,461,10.913378684807256,13.119274376417234,35.0,23.0,293,2.0,277
44,184,617,10.913378684807256,12.72453514739229,35.0,17.0,440,2.0,433
45,184,615,10.913378684807256,13.119274376417234,35.0,2.0,441,2.0,431
46,185,196,10.983038548752834,12.887074829931972,34.0,34.0,83,2.0,11
47,185,189,10.983038548752834,12.979954648526077,34.0,29.0,86,2.0,4
48,185,272,10.983038548752834,12.353015873015874,34.0,32.0,105,1.0,87
49,185,231,10.983038548752834,13.119274376417234,34.0,31.0,103,2.0,46
50,185,411,10.983038548752834,12.283356009070294,34.0,28.0,233,1.0,226
51,185,461,10.983038548752834,13.119274376417234,34.0,23.0,291,2.0,276
52,185,617,10.983038548752834,12.72453514739229,34.0,17.0,438,2.0,432
53,185,615,10.983038548752834,13.119274376417234,34.0,2.0,440,2.0,430
54,196,80,12.887074829931972,14.86077097505669,34.0,30.0,144,2.0,116
55,196,171,12.887074829931972,15.789569160997733,34.0,34.0,127,3.0,25
56,196,241,12.887074829931972,14.86077097505669,34.0,35.0,96,2.0,45
57,196,231,12.887074829931972,15.51092970521542,34.0,36.0,118,3.0,35
58,196,457,12.887074829931972,14.814331065759637,34.0,20.0,274,2.0,261
59,196,498,12.887074829931972,15.39482993197279,34.0,28.0,321,3.0,302
60,196,615,12.887074829931972,15.441269841269841,34.0,7.0,433,3.0,419
61,189,80,12.979954648526077,14.86077097505669,29.0,30.0,136,2.0,109
62,189,171,12.979954648526077,15.789569160997733,29.0,34.0,122,3.0,18
63,189,241,12.979954648526077,14.86077097505669,29.0,35.0,96,2.0,52
64,189,231,12.979954648526077,15.51092970521542,29.0,36.0,117,3.0,42
65,189,457,12.979954648526077,14.814331065759637,29.0,20.0,279,2.0,268
66,189,498,12.979954648526077,15.39482993197279,29.0,28.0,326,2.0,309
67,189,615,12.979954648526077,15.441269841269841,29.0,7.0,439,2.0,426
68,80,204,14.86077097505669,16.555827664399093,30.0,31.0,144,2.0,124
69,80,70,14.86077097505669,17.159546485260773,30.0,36.0,100,2.0,10
70,80,237,14.86077097505669,16.602267573696146,30.0,35.0,174,2.0,157
71,80,384,14.86077097505669,17.159546485260773,30.0,33.0,320,2.0,304
