,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,174,186,2.972154195011338,4.9458503401360545,24.0,37.0,86,2.0,12
1,174,183,2.972154195011338,4.992290249433107,24.0,32.0,87,2.0,9
2,174,220,2.972154195011338,4.96907029478458,24.0,29.0,98,2.0,46
3,174,258,2.972154195011338,5.061950113378685,24.0,36.0,123,2.0,84
4,174,438,2.972154195011338,4.504671201814059,24.0,24.0,272,2.0,264
5,174,410,2.972154195011338,5.50312925170068,24.0,27.0,260,3.0,236
6,174,637,2.972154195011338,4.713650793650793,24.0,17.0,469,2.0,463
7,174,616,2.972154195011338,5.50312925170068,24.0,24.0,455,3.0,442
8,81,183,3.9706122448979593,4.992290249433107,31.0,32.0,111,1.0,102
9,81,186,3.9706122448979593,6.896326530612245,31.0,30.0,164,3.0,105
10,81,258,3.9706122448979593,5.061950113378685,31.0,36.0,183,1.0,177
11,81,208,3.9706122448979593,6.408707482993197,31.0,34.0,165,2.0,127
12,81,410,3.9706122448979593,5.50312925170068,31.0,27.0,336,2.0,329
13,81,457,3.9706122448979593,6.780226757369615,31.0,21.0,395,3.0,376
14,186,182,4.9458503401360545,7.174965986394558,37.0,27.0,96,2.0,4
15,186,208,4.9458503401360545,6.408707482993197,37.0,34.0,67,1.0,22
16,186,217,4.9458503401360545,7.082086167800454,37.0,29.0,97,2.0,31
17,186,457,4.9458503401360545,6.780226757369615,37.0,21.0,282,2.0,271
18,186,507,4.9458503401360545,7.174965986394558,37.0,18.0,335,2.0,321
19,186,631,4.9458503401360545,7.267845804988662,37.0,6.0,456,2.0,445
20,183,186,4.992290249433107,6.896326530612245,32.0,30.0,82,2.0,3
21,183,182,4.992290249433107,7.174965986394558,32.0,27.0,94,2.0,1
22,183,208,4.992290249433107,6.408707482993197,32.0,34.0,66,1.0,25
23,183,217,4.992290249433107,7.082086167800454,32.0,29.0,96,2.0,34
24,183,457,4.992290249433107,6.780226757369615,32.0,21.0,285,2.0,274
25,183,507,4.992290249433107,7.174965986394558,32.0,18.0,337,2.0,324
26,183,631,4.992290249433107,7.267845804988662,32.0,6.0,459,2.0,448
27,186,69,6.896326530612245,8.544943310657597,30.0,26.0,137,2.0,117
28,186,174,6.896326530612245,9.404081632653062,30.0,31.0,109,3.0,12
29,186,209,6.896326530612245,8.40562358276644,30.0,29.0,69,2.0,23
30,186,275,6.896326530612245,9.264761904761905,30.0,34.0,135,2.0,89
31,186,474,6.896326530612245,8.6378231292517,30.0,18.0,298,2.0,288
32,186,631,6.896326530612245,8.243083900226758,30.0,6.0,449,1.0,445
33,186,616,6.896326530612245,9.729160997732427,30.0,18.0,447,3.0,430
34,182,69,7.174965986394558,8.544943310657597,27.0,26.0,127,1.0,113
35,182,174,7.174965986394558,9.404081632653062,27.0,31.0,96,2.0,8
36,182,209,7.174965986394558,8.40562358276644,27.0,29.0,59,1.0,27
37,182,275,7.174965986394558,9.264761904761905,27.0,34.0,129,2.0,93
38,182,474,7.174965986394558,8.6378231292517,27.0,18.0,299,1.0,292
39,182,415,7.174965986394558,9.914920634920636,27.0,23.0,261,3.0,233
40,182,631,7.174965986394558,8.243083900226758,27.0,6.0,451,1.0,449
41,182,616,7.174965986394558,9.729160997732427,27.0,18.0,448,3.0,434
42,69,140,8.544943310657597,10.379319727891156,26.0,32.0,106,2.0,71
43,69,80,8.544943310657597,11.00625850340136,26.0,31.0,107,2.0,11
44,69,308,8.544943310657597,10.286439909297052,26.0,32.0,250,2.0,239
45,69,240,8.544943310657597,11.261678004535147,26.0,31.0,207,3.0,171
46,69,415,8.544943310657597,9.914920634920636,26.0,23.0,351,1.0,346
47,69,455,8.544943310657597,10.727619047619047,26.0,24.0,397,2.0,386
48,69,443,8.544943310657597,11.122358276643991,26.0,23.0,390,3.0,374
49,174,80,9.404081632653062,11.00625850340136,31.0,31.0,117,2.0,94
50,174,240,9.404081632653062,11.261678004535147,31.0,31.0,104,2.0,66
51,174,242,9.404081632653062,12.097596371882087,31.0,25.0,134,3.0,68
52,174,455,9.404081632653062,10.727619047619047,31.0,24.0,287,1.0,281
53,174,443,9.404081632653062,11.122358276643991,31.0,23.0,279,2.0,269
54,174,443,9.404081632653062,12.097596371882087,31.0,24.0,293,3.0,269
55,174,617,9.404081632653062,10.634739229024943,31.0,16.0,446,1.0,443
56,174,616,9.404081632653062,11.122358276643991,31.0,15.0,448,2.0,442
57,140,185,10.379319727891156,12.817414965986394,32.0,35.0,114,2.0,45
58,140,242,10.379319727891156,12.097596371882087,32.0,25.0,126,2.0,102
59,140,211,10.379319727891156,13.003174603174603,32.0,26.0,133,3.0,71
60,140,443,10.379319727891156,12.097596371882087,32.0,24.0,312,2.0,303
61,140,480,10.379319727891156,13.049614512471656,32.0,22.0,359,3.0,340
62,140,617,10.379319727891156,12.538775510204083,32.0,18.0,486,2.0,477
63,140,618,10.379319727891156,13.049614512471656,32.0,16.0,492,3.0,478
64,80,185,11.00625850340136,12.817414965986394,31.0,35.0,131,2.0,105
