,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,174,178,0.8359183673469388,2.6006349206349206,30.0,25.0,76,2.0,4
1,174,207,0.8359183673469388,2.1362358276644,30.0,32.0,65,1.0,33
2,174,207,0.8359183673469388,3.1114739229024946,30.0,40.0,103,2.0,33
3,174,442,0.8359183673469388,2.670294784580499,30.0,10.0,279,2.0,268
4,174,420,0.8359183673469388,3.0882539682539685,30.0,19.0,264,2.0,246
5,174,621,0.8359183673469388,3.0882539682539685,30.0,6.0,457,2.0,447
6,204,178,1.18421768707483,2.6006349206349206,29.0,25.0,66,1.0,26
7,204,174,1.18421768707483,3.5758730158730163,29.0,31.0,107,2.0,30
8,204,207,1.18421768707483,3.1114739229024946,29.0,40.0,83,2.0,3
9,204,207,1.18421768707483,4.063492063492063,29.0,41.0,124,3.0,3
10,204,442,1.18421768707483,2.670294784580499,29.0,10.0,246,1.0,238
11,204,420,1.18421768707483,3.0882539682539685,29.0,19.0,231,2.0,216
12,204,532,1.18421768707483,4.0402721088435385,29.0,14.0,350,3.0,328
13,204,621,1.18421768707483,3.0882539682539685,29.0,6.0,425,2.0,417
14,204,621,1.18421768707483,4.0402721088435385,29.0,13.0,435,3.0,417
15,178,204,2.6006349206349206,4.0402721088435385,25.0,30.0,67,1.0,26
16,178,174,2.6006349206349206,5.456689342403628,25.0,27.0,123,3.0,4
17,178,207,2.6006349206349206,4.063492063492063,25.0,41.0,69,1.0,29
18,178,207,2.6006349206349206,4.992290249433106,25.0,34.0,107,2.0,29
19,178,532,2.6006349206349206,4.0402721088435385,25.0,14.0,359,1.0,354
20,178,621,2.6006349206349206,4.0402721088435385,25.0,13.0,447,1.0,443
21,174,207,3.5758730158730163,4.992290249433106,31.0,34.0,69,1.0,33
22,174,477,3.5758730158730163,5.92108843537415,31.0,7.0,319,2.0,303
23,204,174,4.0402721088435385,5.456689342403628,30.0,27.0,68,1.0,30
24,204,207,4.0402721088435385,6.896326530612245,30.0,35.0,123,3.0,3
25,204,477,4.0402721088435385,5.92108843537415,30.0,7.0,285,2.0,273
26,204,421,4.0402721088435385,6.873106575963719,30.0,17.0,249,3.0,217
27,174,204,5.456689342403628,6.873106575963719,27.0,23.0,68,1.0,30
28,174,207,5.456689342403628,6.896326530612245,27.0,35.0,70,1.0,33
29,174,207,5.456689342403628,7.825124716553288,27.0,41.0,107,2.0,33
30,174,421,5.456689342403628,6.873106575963719,27.0,17.0,254,1.0,247
31,174,439,5.456689342403628,7.825124716553288,27.0,13.0,284,2.0,265
32,174,621,5.456689342403628,7.801904761904763,27.0,12.0,458,2.0,447
33,204,174,6.873106575963719,8.312743764172335,23.0,32.0,69,1.0,30
34,204,207,6.873106575963719,8.753922902494331,23.0,39.0,81,2.0,3
35,204,207,6.873106575963719,9.7059410430839,23.0,30.0,122,3.0,3
36,204,421,6.873106575963719,8.753922902494331,23.0,20.0,232,2.0,217
37,204,443,6.873106575963719,9.241541950113382,23.0,17.0,260,2.0,239
38,204,622,6.873106575963719,8.753922902494331,23.0,5.0,426,2.0,418
39,174,204,7.360725623582766,9.055782312925169,33.0,29.0,79,2.0,30
40,174,179,7.360725623582766,10.170340136054422,33.0,29.0,121,3.0,5
41,174,207,7.360725623582766,8.753922902494331,33.0,39.0,68,1.0,33
42,174,207,7.360725623582766,9.7059410430839,33.0,30.0,106,2.0,33
43,174,421,7.360725623582766,8.753922902494331,33.0,20.0,254,1.0,247
44,174,443,7.360725623582766,9.241541950113382,33.0,17.0,281,2.0,269
45,174,622,7.360725623582766,8.753922902494331,33.0,5.0,452,1.0,448
46,174,179,8.312743764172335,10.170340136054422,32.0,29.0,80,2.0,5
47,174,207,8.312743764172335,9.7059410430839,32.0,30.0,68,1.0,33
48,174,207,8.312743764172335,10.657959183673471,32.0,36.0,106,2.0,33
49,174,421,8.312743764172335,10.657959183673471,32.0,15.0,267,2.0,247
50,204,179,9.055782312925169,10.170340136054422,29.0,29.0,54,1.0,25
51,204,174,9.055782312925169,11.145578231292518,29.0,30.0,95,2.0,30
52,204,207,9.055782312925169,10.657959183673471,29.0,36.0,69,2.0,3
