,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,6,200,0.9520181405895691,2.066575963718821,4.0,25.0,200,1.0,194
1,6,89,0.9520181405895691,3.6687528344671203,4.0,19.0,143,3.0,83
2,6,214,0.9520181405895691,2.1362358276643993,4.0,32.0,214,1.0,208
3,6,248,0.9520181405895691,3.320453514739229,4.0,22.0,263,2.0,242
4,194,89,1.7647165532879818,3.6687528344671203,27.0,19.0,133,2.0,105
5,194,248,1.7647165532879818,3.320453514739229,27.0,22.0,86,2.0,54
6,194,596,1.7647165532879818,3.3436734693877552,27.0,6.0,408,2.0,402
7,194,474,1.7647165532879818,4.4117913832199545,27.0,14.0,302,3.0,280
8,194,619,1.7647165532879818,3.2275736961451247,27.0,4.0,430,1.0,425
9,194,655,1.7647165532879818,4.388571428571429,27.0,14.0,475,3.0,461
10,200,89,2.066575963718821,3.6687528344671203,25.0,19.0,131,2.0,111
11,200,69,2.066575963718821,4.899410430839002,25.0,30.0,179,3.0,131
12,200,248,2.066575963718821,3.320453514739229,25.0,22.0,72,1.0,48
13,200,261,2.066575963718821,4.85297052154195,25.0,21.0,135,3.0,61
14,200,596,2.066575963718821,3.3436734693877552,25.0,6.0,400,1.0,396
15,200,474,2.066575963718821,4.4117913832199545,25.0,14.0,292,2.0,274
16,200,619,2.066575963718821,3.2275736961451247,25.0,4.0,422,1.0,419
17,200,655,2.066575963718821,4.388571428571429,25.0,14.0,466,2.0,455
18,200,616,2.066575963718821,4.992290249433107,25.0,13.0,435,3.0,416
19,89,69,3.6687528344671203,4.899410430839002,19.0,30.0,57,1.0,20
20,89,73,3.6687528344671203,5.944308390022676,19.0,33.0,99,2.0,16
21,89,73,3.6687528344671203,6.339047619047619,19.0,30.0,116,3.0,16
22,89,261,3.6687528344671203,4.85297052154195,19.0,21.0,179,1.0,172
23,89,247,3.6687528344671203,5.294149659863946,19.0,31.0,173,2.0,158
24,89,278,3.6687528344671203,6.431927437641724,19.0,24.0,223,3.0,189
25,89,585,3.6687528344671203,6.315827664399093,19.0,10.0,509,3.0,496
