,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,160,159,1.7414965986394555,3.9009523809523814,28.0,28.0,93,2.0,1
1,160,200,1.7414965986394555,4.574331065759638,28.0,26.0,128,3.0,40
2,160,227,1.7414965986394555,3.8545124716553287,28.0,31.0,113,2.0,67
3,160,213,1.7414965986394555,4.574331065759638,28.0,28.0,133,3.0,53
4,160,420,1.7414965986394555,3.9009523809523814,28.0,15.0,276,2.0,260
5,160,417,1.7414965986394555,4.597551020408163,28.0,13.0,285,3.0,257
6,160,159,2.391655328798186,3.9009523809523814,26.0,28.0,65,2.0,1
7,160,200,2.391655328798186,4.574331065759638,26.0,26.0,102,2.0,40
8,160,227,2.391655328798186,3.8545124716553287,26.0,31.0,92,1.0,67
9,160,213,2.391655328798186,4.574331065759638,26.0,28.0,108,2.0,53
10,160,420,2.391655328798186,3.9009523809523814,26.0,15.0,268,2.0,260
11,160,417,2.391655328798186,4.597551020408163,26.0,13.0,274,2.0,257
12,159,204,3.9009523809523814,5.9675283446712015,28.0,19.0,100,2.0,45
13,159,160,3.9009523809523814,6.222947845804988,28.0,29.0,100,2.0,1
14,159,210,3.9009523809523814,5.9675283446712015,28.0,20.0,103,2.0,51
15,159,213,3.9009523809523814,6.130068027210886,28.0,30.0,110,2.0,54
16,159,418,3.9009523809523814,6.199727891156463,28.0,13.0,277,2.0,259
17,200,204,4.574331065759638,5.9675283446712015,26.0,19.0,60,1.0,4
18,200,160,4.574331065759638,6.222947845804988,26.0,29.0,81,2.0,40
19,200,160,4.574331065759638,7.174965986394558,26.0,28.0,119,3.0,40
20,200,210,4.574331065759638,5.9675283446712015,26.0,20.0,61,1.0,10
21,200,213,4.574331065759638,6.130068027210886,26.0,30.0,68,2.0,13
22,200,418,4.574331065759638,6.199727891156463,26.0,13.0,229,2.0,218
23,200,413,4.574331065759638,7.10530612244898,26.0,13.0,239,3.0,213
24,204,160,5.9675283446712015,7.174965986394558,19.0,28.0,68,1.0,44
25,204,161,5.9675283446712015,8.266303854875284,19.0,30.0,108,2.0,43
26,204,214,5.9675283446712015,7.732244897959183,19.0,31.0,77,2.0,10
27,204,227,5.9675283446712015,8.6378231292517,19.0,31.0,117,3.0,23
28,204,413,5.9675283446712015,7.10530612244898,19.0,13.0,215,1.0,209
29,160,161,6.222947845804988,8.266303854875284,29.0,30.0,88,2.0,1
30,160,214,6.222947845804988,7.732244897959183,29.0,31.0,85,2.0,54
31,160,227,6.222947845804988,8.6378231292517,29.0,31.0,124,2.0,67
32,160,220,6.222947845804988,9.032562358276644,29.0,27.0,135,3.0,60
33,160,416,6.222947845804988,8.962902494331066,29.0,13.0,282,3.0,256
34,160,416,6.222947845804988,8.986122448979593,29.0,13.0,282,3.0,256
35,160,161,7.174965986394558,8.266303854875284,28.0,30.0,47,1.0,1
36,160,227,7.174965986394558,8.6378231292517,28.0,31.0,92,1.0,67
37,160,220,7.174965986394558,9.032562358276644,28.0,27.0,100,2.0,60
38,160,416,7.174965986394558,8.962902494331066,28.0,13.0,267,2.0,256
39,160,416,7.174965986394558,8.986122448979593,28.0,13.0,268,2.0,256
40,161,195,8.266303854875284,10.309659863945578,30.0,29.0,94,2.0,34
41,161,140,8.266303854875284,10.983038548752834,30.0,23.0,119,3.0,21
42,161,217,8.266303854875284,10.565079365079363,30.0,29.0,114,2.0,56
43,161,413,8.266303854875284,10.286439909297053,30.0,15.0,267,2.0,252
44,160,195,9.102222222222222,10.309659863945578,27.0,29.0,63,1.0,35
45,160,140,9.102222222222222,10.983038548752834,27.0,23.0,83,2.0,20
46,160,217,9.102222222222222,10.565079365079363,27.0,29.0,85,1.0,57
47,160,221,9.102222222222222,11.656417233560093,27.0,26.0,126,3.0,61
48,160,413,9.102222222222222,10.286439909297053,27.0,15.0,258,1.0,253
49,160,460,9.102222222222222,11.656417233560093,27.0,23.0,320,3.0,300
50,195,160,10.309659863945578,12.538775510204086,29.0,28.0,102,2.0,35
51,195,196,10.309659863945578,13.165714285714285,29.0,26.0,123,3.0,1
52,195,221,10.309659863945578,11.656417233560093,29.0,26.0,64,1.0,26
53,195,212,10.309659863945578,12.445895691609977,29.0,29.0,94,2.0,17
54,195,214,10.309659863945578,13.142494331065759,29.0,27.0,123,3.0,19
55,195,460,10.309659863945578,11.656417233560093,29.0,23.0,271,1.0,265
56,195,482,10.309659863945578,12.701315192743767,29.0,23.0,305,2.0,287
57,195,483,10.309659863945578,13.281814058956915,29.0,24.0,315,3.0,288
58,140,160,10.983038548752834,12.538775510204086,23.0,28.0,70,2.0,20
59,140,196,10.983038548752834,13.165714285714285,23.0,26.0,109,2.0,56
60,140,212,10.983038548752834,12.445895691609977,23.0,29.0,96,1.0,72
61,140,214,10.983038548752834,13.142494331065759,23.0,27.0,119,2.0,74
62,140,482,10.983038548752834,12.701315192743767,23.0,23.0,350,2.0,342
63,140,483,10.983038548752834,13.281814058956915,23.0,24.0,357,2.0,343
64,160,200,12.538775510204086,14.69823129251701,28.0,31.0,101,2.0,40
65,160,213,12.538775510204086,14.582131519274375,28.0,28.0,103,2.0,53
66,160,213,12.538775510204086,15.301950113378684,28.0,29.0,130,3.0,53
67,160,432,12.538775510204086,14.349931972789117,28.0,21.0,283,2.0,272
68,196,200,13.165714285714285,14.69823129251701,26.0,31.0,66,2.0,4
69,196,200,13.165714285714285,15.696689342403626,26.0,28.0,109,3.0,4
70,196,213,13.165714285714285,14.582131519274375,26.0,28.0,63,1.0,17
71,196,213,13.165714285714285,15.301950113378684,26.0,29.0,94,2.0,17
72,196,432,13.165714285714285,14.349931972789117,26.0,21.0,241,1.0,236
73,196,467,13.165714285714285,15.882448979591837,26.0,21.0,295,3.0,271
