,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,21,41,0.9752380952380952,2.159455782312925,19.0,24.0,55,1.0,20
1,21,55,0.9752380952380952,3.3668934240362813,19.0,24.0,108,2.0,34
2,21,274,0.9752380952380952,2.229115646258504,19.0,17.0,259,1.0,253
3,21,274,0.9752380952380952,3.0418140589569163,19.0,16.0,268,2.0,253
4,55,274,1.83437641723356,3.0418140589569163,21.0,16.0,225,1.0,219
5,41,55,2.159455782312925,3.3668934240362813,24.0,24.0,54,1.0,14
6,41,55,2.159455782312925,4.899410430839002,24.0,23.0,119,3.0,14
7,41,263,2.159455782312925,4.85297052154195,24.0,14.0,250,3.0,222
8,55,69,3.3668934240362813,5.6656689342403626,24.0,20.0,100,2.0,14
9,55,263,3.3668934240362813,4.85297052154195,24.0,14.0,218,1.0,208
10,55,206,3.3668934240362813,5.27092970521542,24.0,15.0,172,2.0,151
11,55,66,4.899410430839002,6.919546485260772,23.0,32.0,88,2.0,11
12,55,66,4.899410430839002,7.848344671201813,23.0,32.0,127,3.0,11
13,55,207,4.899410430839002,6.919546485260772,23.0,22.0,175,2.0,152
14,55,216,4.899410430839002,7.6393650793650805,23.0,28.0,200,3.0,161
15,55,485,4.899410430839002,7.662585034013605,23.0,27.0,446,3.0,430
16,69,66,5.6656689342403626,6.919546485260772,20.0,32.0,54,1.0,3
17,69,66,5.6656689342403626,7.848344671201813,20.0,32.0,94,2.0,3
18,69,67,5.6656689342403626,8.057324263038549,20.0,27.0,103,2.0,2
19,69,207,5.6656689342403626,6.919546485260772,20.0,22.0,148,1.0,138
20,69,216,5.6656689342403626,7.6393650793650805,20.0,28.0,170,2.0,147
21,69,236,5.6656689342403626,8.057324263038549,20.0,22.0,196,2.0,167
22,69,485,5.6656689342403626,7.662585034013605,20.0,27.0,425,2.0,416
23,69,433,5.6656689342403626,8.010884353741497,20.0,21.0,378,2.0,364
24,66,67,6.919546485260772,8.057324263038549,32.0,27.0,49,1.0,1
25,66,55,6.919546485260772,9.729160997732428,32.0,24.0,121,3.0,11
26,66,236,6.919546485260772,8.057324263038549,32.0,22.0,177,1.0,170
27,66,214,6.919546485260772,9.729160997732428,32.0,26.0,191,3.0,148
28,66,433,6.919546485260772,8.010884353741497,32.0,21.0,370,1.0,367
29,66,439,6.919546485260772,9.845260770975058,32.0,20.0,394,3.0,373
30,66,55,7.848344671201813,9.729160997732428,32.0,24.0,82,2.0,11
31,66,35,7.848344671201813,10.704399092970524,32.0,26.0,127,3.0,31
32,66,214,7.848344671201813,9.729160997732428,32.0,26.0,169,2.0,148
33,66,206,7.848344671201813,10.797278911564627,32.0,21.0,189,3.0,140
34,66,439,7.848344671201813,9.845260770975058,32.0,20.0,383,2.0,373
35,67,55,8.057324263038549,9.729160997732428,27.0,24.0,73,2.0,12
36,67,35,8.057324263038549,10.704399092970524,27.0,26.0,118,3.0,32
37,67,214,8.057324263038549,9.729160997732428,27.0,26.0,164,2.0,147
38,67,206,8.057324263038549,10.797278911564627,27.0,21.0,182,3.0,139
39,67,439,8.057324263038549,9.845260770975058,27.0,20.0,380,2.0,372
40,55,41,9.729160997732428,11.58675736961451,24.0,19.0,81,2.0,14
41,55,206,9.729160997732428,10.797278911564627,24.0,21.0,158,1.0,151
