,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,69,197,1.9736961451247168,3.1811337868480725,5.0,32.0,138,1.0,128
1,69,172,1.9736961451247168,4.2260317460317465,5.0,31.0,141,2.0,103
2,69,215,1.9736961451247168,3.738412698412698,5.0,35.0,165,2.0,146
3,69,258,1.9736961451247168,4.2260317460317465,5.0,29.0,212,2.0,189
4,69,437,1.9736961451247168,3.6919727891156464,5.0,29.0,375,2.0,368
5,69,460,1.9736961451247168,4.3421315192743775,5.0,29.0,404,2.0,391
6,153,172,2.1826757369614507,4.2260317460317465,36.0,31.0,90,2.0,19
7,153,174,2.1826757369614507,5.154829931972789,36.0,37.0,130,3.0,21
8,153,215,2.1826757369614507,3.738412698412698,36.0,35.0,91,2.0,62
9,153,258,2.1826757369614507,4.2260317460317465,36.0,29.0,137,2.0,105
10,153,437,2.1826757369614507,3.6919727891156464,36.0,29.0,291,2.0,284
11,153,460,2.1826757369614507,4.3421315192743775,36.0,29.0,321,2.0,307
12,153,434,2.1826757369614507,5.1316099773242625,36.0,35.0,308,3.0,281
13,153,617,2.1826757369614507,4.783310657596372,36.0,13.0,477,3.0,464
14,197,172,3.1811337868480725,4.2260317460317465,32.0,31.0,51,1.0,25
15,197,174,3.1811337868480725,5.154829931972789,32.0,37.0,88,2.0,23
16,197,154,3.1811337868480725,6.106848072562357,32.0,33.0,133,3.0,43
17,197,258,3.1811337868480725,4.2260317460317465,32.0,29.0,76,1.0,61
18,197,263,3.1811337868480725,5.61922902494331,32.0,37.0,124,2.0,66
19,197,387,3.1811337868480725,6.106848072562357,32.0,25.0,228,3.0,190
20,197,460,3.1811337868480725,4.3421315192743775,32.0,29.0,268,1.0,263
21,197,434,3.1811337868480725,5.1316099773242625,32.0,35.0,251,2.0,237
22,197,449,3.1811337868480725,6.060408163265307,32.0,24.0,281,3.0,252
23,197,617,3.1811337868480725,4.783310657596372,32.0,13.0,426,2.0,420
24,172,154,4.2260317460317465,6.106848072562357,31.0,33.0,83,2.0,18
25,172,194,4.2260317460317465,7.058866213151928,31.0,32.0,124,3.0,22
26,172,263,4.2260317460317465,5.61922902494331,31.0,37.0,109,1.0,91
27,172,387,4.2260317460317465,6.106848072562357,31.0,25.0,230,2.0,215
28,172,217,4.2260317460317465,7.128526077097505,31.0,33.0,133,3.0,45
29,172,449,4.2260317460317465,6.060408163265307,31.0,24.0,288,2.0,277
30,172,436,4.2260317460317465,7.151746031746033,31.0,29.0,293,3.0,264
31,172,631,4.2260317460317465,6.548027210884353,31.0,6.0,470,2.0,459
32,172,616,4.2260317460317465,7.0356462585034025,31.0,8.0,460,3.0,444
33,174,194,5.154829931972789,7.058866213151928,37.0,32.0,84,2.0,20
34,174,217,5.154829931972789,7.128526077097505,37.0,33.0,95,2.0,43
35,174,217,5.154829931972789,8.103764172335602,37.0,32.0,134,3.0,43
36,174,436,5.154829931972789,7.151746031746033,37.0,29.0,276,2.0,262
37,174,433,5.154829931972789,8.103764172335602,37.0,35.0,288,3.0,259
38,174,631,5.154829931972789,6.548027210884353,37.0,6.0,461,1.0,457
39,174,616,5.154829931972789,7.0356462585034025,37.0,8.0,449,2.0,442
40,174,631,5.154829931972789,8.057324263038549,37.0,7.0,474,3.0,457
41,154,193,6.106848072562357,8.359183673469389,33.0,37.0,105,2.0,39
42,154,171,6.106848072562357,9.055782312925169,33.0,38.0,128,3.0,17
43,154,217,6.106848072562357,7.128526077097505,33.0,33.0,77,1.0,63
44,154,217,6.106848072562357,8.103764172335602,33.0,32.0,107,2.0,63
45,154,436,6.106848072562357,7.151746031746033,33.0,29.0,286,1.0,282
46,154,433,6.106848072562357,8.103764172335602,33.0,35.0,292,2.0,279
47,154,429,6.106848072562357,9.055782312925169,33.0,26.0,303,3.0,275
48,154,631,6.106848072562357,8.057324263038549,33.0,7.0,484,2.0,477
49,154,617,6.106848072562357,9.009342403628116,33.0,7.0,480,3.0,463
50,194,193,7.058866213151928,8.359183673469389,32.0,37.0,56,1.0,1
51,194,171,7.058866213151928,9.055782312925169,32.0,38.0,89,2.0,23
52,194,217,7.058866213151928,8.103764172335602,32.0,32.0,51,1.0,23
53,194,217,7.058866213151928,9.613061224489797,32.0,31.0,112,3.0,23
54,194,433,7.058866213151928,8.103764172335602,32.0,35.0,243,1.0,239
55,194,429,7.058866213151928,9.055782312925169,32.0,26.0,250,2.0,235
56,194,617,7.058866213151928,9.009342403628116,32.0,7.0,431,2.0,423
57,193,187,8.359183673469389,10.518639455782315,37.0,22.0,93,2.0,6
58,193,217,8.359183673469389,9.613061224489797,37.0,31.0,59,1.0,24
59,193,215,8.359183673469389,10.959818594104311,37.0,27.0,114,3.0,22
60,193,216,8.359183673469389,11.00625850340136,37.0,35.0,116,3.0,23
61,193,459,8.359183673469389,10.750839002267575,37.0,23.0,285,2.0,266
62,193,474,8.359183673469389,11.00625850340136,37.0,27.0,303,3.0,281
63,193,644,8.359183673469389,10.750839002267575,37.0,10.0,463,2.0,451
64,171,187,9.055782312925169,10.518639455782315,38.0,22.0,65,1.0,16
65,171,193,9.055782312925169,11.470657596371884,38.0,28.0,106,2.0,22
66,171,215,9.055782312925169,10.959818594104311,38.0,27.0,93,2.0,44
67,171,216,9.055782312925169,11.00625850340136,38.0,35.0,95,2.0,45
68,171,459,9.055782312925169,10.750839002267575,38.0,23.0,297,2.0,288
69,171,474,9.055782312925169,11.00625850340136,38.0,27.0,314,2.0,303
70,171,644,9.055782312925169,10.750839002267575,38.0,10.0,479,2.0,473
71,171,644,9.055782312925169,11.72607709750567,38.0,9.0,487,3.0,473
72,187,193,10.518639455782315,12.72453514739229,22.0,31.0,95,2.0,6
73,187,215,10.518639455782315,12.60843537414966,22.0,33.0,94,2.0,28
74,187,217,10.518639455782315,13.049614512471654,22.0,25.0,113,3.0,30
75,187,441,10.518639455782315,12.097596371882089,22.0,33.0,263,2.0,254
76,187,423,10.518639455782315,13.003174603174605,22.0,30.0,259,2.0,236
77,187,644,10.518639455782315,11.72607709750567,22.0,9.0,460,1.0,457
78,187,629,10.518639455782315,12.933514739229025,22.0,8.0,454,2.0,442
79,193,182,11.470657596371884,13.722993197278912,28.0,31.0,98,2.0,11
