,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,154,144,1.811156462585034,2.972154195011338,29.0,29.0,51,1.0,10
1,154,153,1.811156462585034,3.1579138321995464,29.0,38.0,58,1.0,1
2,154,173,1.811156462585034,4.063492063492063,29.0,37.0,99,2.0,19
3,154,258,1.811156462585034,2.972154195011338,29.0,29.0,115,1.0,104
4,154,245,1.811156462585034,3.2043537414965986,29.0,35.0,109,1.0,91
5,154,461,1.811156462585034,2.9257142857142857,29.0,13.0,311,1.0,307
6,154,549,1.811156462585034,3.622312925170068,29.0,26.0,403,2.0,395
7,154,626,1.811156462585034,2.9024943310657596,29.0,5.0,474,1.0,472
8,154,636,1.811156462585034,3.622312925170068,29.0,9.0,488,2.0,482
9,144,173,2.972154195011338,4.063492063492063,29.0,37.0,55,1.0,29
10,144,77,2.972154195011338,5.154829931972789,29.0,34.0,115,2.0,67
11,144,206,2.972154195011338,4.96907029478458,29.0,42.0,106,2.0,62
12,144,206,2.972154195011338,4.992290249433107,29.0,42.0,107,2.0,62
13,144,438,2.972154195011338,4.899410430839002,29.0,23.0,305,2.0,294
14,144,412,2.972154195011338,5.038730158730159,29.0,24.0,282,2.0,268
15,144,618,2.972154195011338,4.96907029478458,29.0,14.0,482,2.0,474
16,144,618,2.972154195011338,4.992290249433107,29.0,13.0,482,2.0,474
17,153,77,3.1579138321995464,5.154829931972789,38.0,34.0,115,2.0,76
18,153,206,3.1579138321995464,4.96907029478458,38.0,42.0,94,2.0,53
19,153,206,3.1579138321995464,4.992290249433107,38.0,42.0,95,2.0,53
20,153,438,3.1579138321995464,4.899410430839002,38.0,23.0,295,2.0,285
21,153,412,3.1579138321995464,5.038730158730159,38.0,24.0,271,2.0,259
22,153,618,3.1579138321995464,4.96907029478458,38.0,14.0,471,2.0,465
23,153,618,3.1579138321995464,4.992290249433107,38.0,13.0,472,2.0,465
24,173,77,4.063492063492063,5.154829931972789,37.0,34.0,107,1.0,96
25,173,77,4.063492063492063,6.269387755102041,37.0,31.0,135,2.0,96
26,173,257,4.063492063492063,6.199727891156463,37.0,33.0,125,2.0,84
27,173,437,4.063492063492063,6.222947845804989,37.0,19.0,280,2.0,264
28,173,617,4.063492063492063,6.199727891156463,37.0,6.0,453,2.0,444
29,77,184,5.154829931972789,7.8251247165532885,34.0,32.0,157,3.0,107
30,77,257,5.154829931972789,6.199727891156463,34.0,33.0,186,1.0,180
31,77,245,5.154829931972789,7.453605442176871,34.0,31.0,195,2.0,168
32,77,437,5.154829931972789,6.222947845804989,34.0,19.0,363,1.0,360
33,77,551,5.154829931972789,7.337505668934241,34.0,18.0,483,2.0,474
34,77,184,6.269387755102041,7.8251247165532885,31.0,32.0,126,2.0,107
35,77,184,6.269387755102041,8.753922902494331,31.0,37.0,151,2.0,107
36,77,173,6.269387755102041,9.05578231292517,31.0,31.0,154,3.0,96
37,77,245,6.269387755102041,7.453605442176871,31.0,31.0,176,1.0,168
38,77,260,6.269387755102041,8.846802721088435,31.0,33.0,214,3.0,183
39,77,231,6.269387755102041,9.1718820861678,31.0,26.0,198,3.0,154
40,77,551,6.269387755102041,7.337505668934241,31.0,18.0,476,1.0,474
41,77,463,6.269387755102041,8.70748299319728,31.0,22.0,400,2.0,386
42,184,173,7.8251247165532885,9.05578231292517,32.0,31.0,54,1.0,11
43,184,153,7.8251247165532885,10.12390022675737,32.0,36.0,104,2.0,31
44,184,260,7.8251247165532885,8.846802721088435,32.0,33.0,88,1.0,76
45,184,231,7.8251247165532885,9.1718820861678,32.0,26.0,75,1.0,47
46,184,260,7.8251247165532885,10.286439909297052,32.0,30.0,130,2.0,76
47,184,462,7.8251247165532885,9.287981859410431,32.0,19.0,285,1.0,278
48,184,489,7.8251247165532885,10.704399092970522,32.0,20.0,329,3.0,305
49,184,664,7.8251247165532885,10.24,32.0,10.0,491,2.0,480
50,184,153,8.753922902494331,10.12390022675737,37.0,36.0,67,1.0,31
51,184,183,8.753922902494331,11.261678004535147,37.0,32.0,108,3.0,1
52,184,260,8.753922902494331,10.286439909297052,37.0,30.0,101,2.0,76
53,184,232,8.753922902494331,11.609977324263038,37.0,30.0,132,3.0,48
54,184,489,8.753922902494331,10.704399092970522,37.0,20.0,316,2.0,305
