,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,191,86,0.06965986394557823,1.6253968253968254,0.0,31.0,125,2.0,105
1,191,139,0.06965986394557823,2.2523356009070294,0.0,30.0,107,2.0,52
2,191,228,0.06965986394557823,1.4396371882086167,0.0,26.0,70,1.0,37
3,191,233,0.06965986394557823,2.2755555555555556,0.0,31.0,104,2.0,42
4,191,460,0.06965986394557823,1.8343764172335602,0.0,13.0,280,2.0,269
5,191,420,0.06965986394557823,2.2755555555555556,0.0,7.0,248,2.0,229
6,191,673,0.06965986394557823,1.4164172335600906,0.0,6.0,485,1.0,482
7,86,67,1.6253968253968254,3.297233560090703,31.0,33.0,74,2.0,19
8,86,204,1.6253968253968254,4.597551020408163,31.0,34.0,174,3.0,118
9,86,228,1.6253968253968254,3.784852607709751,31.0,25.0,170,2.0,142
10,86,206,1.6253968253968254,4.597551020408163,31.0,37.0,175,3.0,120
11,86,415,1.6253968253968254,3.784852607709751,31.0,9.0,342,2.0,329
12,139,67,2.2523356009070294,3.297233560090703,30.0,33.0,85,1.0,72
13,139,204,2.2523356009070294,4.597551020408163,30.0,34.0,120,2.0,65
14,139,228,2.2523356009070294,3.784852607709751,30.0,25.0,111,2.0,89
15,139,206,2.2523356009070294,4.597551020408163,30.0,37.0,121,2.0,67
16,139,415,2.2523356009070294,3.784852607709751,30.0,9.0,284,2.0,276
17,139,505,2.2523356009070294,4.922630385487529,30.0,14.0,384,3.0,366
18,139,632,2.2523356009070294,3.784852607709751,30.0,5.0,497,2.0,493
19,139,621,2.2523356009070294,4.899410430839002,30.0,17.0,495,3.0,482
20,67,204,3.297233560090703,4.597551020408163,33.0,34.0,148,1.0,137
21,67,129,3.297233560090703,5.758548752834467,33.0,31.0,123,2.0,62
22,67,206,3.297233560090703,4.597551020408163,33.0,37.0,150,1.0,139
23,67,207,3.297233560090703,5.758548752834467,33.0,29.0,176,2.0,140
24,67,505,3.297233560090703,4.922630385487529,33.0,14.0,444,2.0,438
25,67,411,3.297233560090703,5.758548752834467,33.0,14.0,360,2.0,344
26,204,129,4.597551020408163,5.758548752834467,34.0,31.0,90,1.0,75
27,204,207,4.597551020408163,5.758548752834467,34.0,29.0,50,1.0,3
28,204,208,4.597551020408163,6.57124716553288,34.0,33.0,85,2.0,4
29,204,411,4.597551020408163,5.758548752834467,34.0,14.0,213,1.0,207
30,204,517,4.597551020408163,6.548027210884354,34.0,9.0,324,2.0,313
31,204,676,4.597551020408163,5.758548752834467,34.0,8.0,475,1.0,472
32,204,631,4.597551020408163,6.57124716553288,34.0,7.0,435,2.0,427
33,129,204,5.758548752834467,7.9412244897959186,31.0,32.0,120,2.0,75
34,129,205,5.758548752834467,7.964444444444444,31.0,32.0,122,2.0,76
35,129,205,5.758548752834467,7.987664399092971,31.0,32.0,122,2.0,76
36,129,467,5.758548752834467,7.75546485260771,31.0,10.0,349,2.0,338
37,129,545,5.758548752834467,8.40562358276644,31.0,22.0,431,3.0,416
38,204,65,6.57124716553288,8.962902494331066,32.0,41.0,173,2.0,139
39,204,84,6.57124716553288,9.05578231292517,32.0,42.0,161,2.0,120
40,204,205,6.57124716553288,7.964444444444444,32.0,32.0,60,1.0,1
41,204,205,6.57124716553288,7.987664399092971,32.0,32.0,61,1.0,1
42,204,241,6.57124716553288,9.05578231292517,32.0,28.0,113,2.0,37
43,204,467,6.57124716553288,7.75546485260771,32.0,10.0,268,1.0,263
44,204,545,6.57124716553288,8.40562358276644,32.0,22.0,350,2.0,341
45,204,636,6.57124716553288,7.894784580498866,32.0,8.0,436,1.0,432
46,204,629,6.57124716553288,8.359183673469389,32.0,20.0,432,2.0,425
47,204,65,7.9412244897959186,8.962902494331066,32.0,41.0,146,1.0,139
48,204,84,7.9412244897959186,9.05578231292517,32.0,42.0,129,1.0,120
49,204,75,7.9412244897959186,10.077460317460318,32.0,31.0,158,2.0,129
50,204,241,7.9412244897959186,9.05578231292517,32.0,28.0,61,1.0,37
51,204,251,7.9412244897959186,10.913378684807256,32.0,22.0,136,3.0,47
52,204,595,7.9412244897959186,9.7059410430839,32.0,21.0,398,2.0,391
53,204,459,7.9412244897959186,10.077460317460318,32.0,12.0,271,2.0,255
54,204,666,7.9412244897959186,9.7059410430839,32.0,20.0,468,2.0,462
55,65,75,8.962902494331066,10.077460317460318,41.0,31.0,49,1.0,10
56,65,19,8.962902494331066,11.00625850340136,41.0,29.0,99,2.0,46
57,65,251,8.962902494331066,10.913378684807256,41.0,22.0,204,2.0,186
58,65,255,8.962902494331066,11.168798185941043,41.0,24.0,212,2.0,190
59,65,459,8.962902494331066,10.077460317460318,41.0,12.0,397,1.0,394
60,65,513,8.962902494331066,11.261678004535147,41.0,6.0,459,2.0,448
61,84,75,9.05578231292517,10.077460317460318,42.0,31.0,45,1.0,9
62,84,19,9.05578231292517,11.00625850340136,42.0,29.0,106,2.0,65
63,84,251,9.05578231292517,10.913378684807256,42.0,22.0,185,2.0,167
64,84,255,9.05578231292517,11.168798185941043,42.0,24.0,194,2.0,171
65,84,459,9.05578231292517,10.077460317460318,42.0,12.0,378,1.0,375
66,84,513,9.05578231292517,11.261678004535147,42.0,6.0,439,2.0,429
67,75,65,10.077460317460318,12.445895691609978,31.0,24.0,102,2.0,10
68,75,255,10.077460317460318,11.168798185941043,31.0,24.0,186,1.0,180
69,75,255,10.077460317460318,12.422675736961452,31.0,34.0,206,2.0,180
70,75,513,10.077460317460318,11.261678004535147,31.0,6.0,441,1.0,438
71,75,515,10.077460317460318,12.07437641723356,31.0,17.0,448,2.0,440
72,19,65,11.00625850340136,12.445895691609978,29.0,24.0,77,1.0,46
73,19,138,11.00625850340136,13.955192743764172,29.0,27.0,174,3.0,119
74,19,255,11.00625850340136,12.422675736961452,29.0,34.0,244,1.0,236
75,19,255,11.00625850340136,13.583673469387755,29.0,28.0,261,3.0,236
76,19,515,11.00625850340136,12.07437641723356,29.0,17.0,498,1.0,496
77,65,138,12.445895691609978,13.955192743764172,24.0,27.0,98,2.0,73
78,65,82,12.445895691609978,14.071292517006803,24.0,36.0,72,2.0,17
79,65,130,12.445895691609978,15.09297052154195,24.0,36.0,131,3.0,65
80,65,255,12.445895691609978,13.583673469387755,24.0,28.0,196,1.0,190
81,65,232,12.445895691609978,14.373151927437641,24.0,19.0,186,2.0,167
82,65,458,12.445895691609978,14.210612244897959,24.0,15.0,400,2.0,393
83,138,130,13.955192743764172,15.09297052154195,27.0,36.0,50,1.0,8
84,138,68,13.955192743764172,16.81124716553288,27.0,32.0,142,3.0,70
85,138,260,13.955192743764172,15.789569160997733,27.0,23.0,145,2.0,122
86,138,261,13.955192743764172,16.068208616780044,27.0,21.0,153,2.0,123
87,138,477,13.955192743764172,15.766349206349206,27.0,18.0,348,2.0,339
88,138,605,13.955192743764172,16.27718820861678,27.0,19.0,478,2.0,467
89,82,130,14.071292517006803,15.09297052154195,36.0,36.0,65,1.0,48
90,82,68,14.071292517006803,16.81124716553288,36.0,32.0,119,3.0,14
91,82,260,14.071292517006803,15.789569160997733,36.0,23.0,193,2.0,178
92,82,261,14.071292517006803,16.068208616780044,36.0,21.0,199,2.0,179
93,82,477,14.071292517006803,15.766349206349206,36.0,18.0,402,2.0,395
94,130,68,15.09297052154195,16.81124716553288,36.0,32.0,97,2.0,62
95,130,29,15.09297052154195,17.623945578231293,36.0,35.0,149,3.0,101
96,130,255,15.09297052154195,17.11310657596372,36.0,20.0,152,2.0,125
97,130,605,15.09297052154195,16.27718820861678,36.0,19.0,478,1.0,475
98,130,537,15.09297052154195,17.531065759637187,36.0,16.0,420,2.0,407
99,130,616,15.09297052154195,17.531065759637187,36.0,18.0,497,2.0,486
100,68,22,16.81124716553288,18.15800453514739,32.0,30.0,74,1.0,46
101,68,208,16.81124716553288,18.692063492063493,32.0,17.0,162,2.0,140
102,68,205,16.81124716553288,19.086802721088436,32.0,28.0,168,2.0,137
103,68,498,16.81124716553288,18.320544217687075,32.0,20.0,435,2.0,430
104,29,57,17.623945578231293,19.82984126984127,35.0,32.0,99,2.0,28
105,29,22,17.623945578231293,20.17814058956916,35.0,32.0,110,3.0,7
106,29,208,17.623945578231293,18.692063492063493,35.0,17.0,185,1.0,179
107,29,205,17.623945578231293,19.086802721088436,35.0,28.0,187,1.0,176
108,29,478,17.623945578231293,19.922721088435374,35.0,22.0,460,2.0,449
109,29,475,17.623945578231293,20.526439909297054,35.0,15.0,463,3.0,446
110,22,57,18.15800453514739,19.82984126984127,30.0,32.0,80,2.0,35
111,22,232,18.15800453514739,20.688979591836734,30.0,23.0,237,3.0,210
112,22,228,18.15800453514739,21.037278911564627,30.0,27.0,240,3.0,206
113,22,478,18.15800453514739,19.922721088435374,30.0,22.0,462,2.0,456
114,22,475,18.15800453514739,20.526439909297054,30.0,15.0,464,2.0,453
115,57,22,19.82984126984127,21.501678004535147,32.0,30.0,80,2.0,35
116,57,22,19.82984126984127,22.38403628117914,32.0,33.0,115,3.0,35
117,57,228,19.82984126984127,21.037278911564627,32.0,27.0,179,1.0,171
118,57,459,19.82984126984127,21.36235827664399,32.0,23.0,407,2.0,402
119,57,463,19.82984126984127,22.221496598639455,32.0,9.0,419,2.0,406
120,22,202,20.17814058956916,23.034195011337868,32.0,31.0,218,3.0,180
121,22,235,20.17814058956916,22.96453514739229,32.0,25.0,244,3.0,213
122,22,234,20.17814058956916,22.98775510204082,32.0,32.0,244,3.0,212
123,22,459,20.17814058956916,21.36235827664399,32.0,23.0,440,1.0,437
124,22,463,20.17814058956916,22.221496598639455,32.0,9.0,450,2.0,441
125,22,472,20.17814058956916,23.057414965986396,32.0,20.0,467,3.0,450
126,22,202,21.501678004535147,23.034195011337868,30.0,31.0,192,2.0,180
127,22,235,21.501678004535147,22.96453514739229,30.0,25.0,222,1.0,213
128,22,234,21.501678004535147,22.98775510204082,30.0,32.0,221,1.0,212
129,22,472,21.501678004535147,23.057414965986396,30.0,20.0,455,2.0,450
130,22,204,22.38403628117914,24.961451247165535,33.0,26.0,213,3.0,182
