,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,193,174,1.9736961451247168,3.43655328798186,24.0,28.0,66,1.0,19
1,193,259,1.9736961451247168,3.2043537414965986,24.0,27.0,85,1.0,66
2,193,256,1.9736961451247168,4.435011337868481,24.0,41.0,123,2.0,63
3,193,450,1.9736961451247168,3.3668934240362813,24.0,14.0,264,1.0,257
4,193,410,1.9736961451247168,4.435011337868481,24.0,17.0,242,2.0,217
5,193,615,1.9736961451247168,4.435011337868481,24.0,7.0,435,2.0,422
6,174,145,2.391655328798186,4.96907029478458,25.0,33.0,115,3.0,29
7,174,146,2.391655328798186,4.992290249433106,25.0,32.0,115,3.0,28
8,174,256,2.391655328798186,4.435011337868481,25.0,41.0,120,2.0,82
9,174,242,2.391655328798186,4.992290249433106,25.0,16.0,131,3.0,68
10,174,410,2.391655328798186,4.435011337868481,25.0,17.0,252,2.0,236
11,174,532,2.391655328798186,4.992290249433106,25.0,2.0,375,3.0,358
12,174,615,2.391655328798186,4.435011337868481,25.0,7.0,450,2.0,441
13,174,145,3.43655328798186,4.96907029478458,28.0,33.0,72,2.0,29
14,174,146,3.43655328798186,4.992290249433106,28.0,32.0,73,2.0,28
15,174,242,3.43655328798186,4.992290249433106,28.0,16.0,95,2.0,68
16,174,532,3.43655328798186,4.992290249433106,28.0,2.0,364,2.0,358
17,145,194,4.96907029478458,6.524807256235827,33.0,25.0,83,2.0,49
18,145,146,4.96907029478458,7.058866213151928,33.0,28.0,90,2.0,1
19,145,242,4.96907029478458,6.524807256235827,33.0,37.0,118,2.0,97
20,145,255,4.96907029478458,6.9892063492063485,33.0,13.0,140,2.0,110
21,145,485,4.96907029478458,6.5015873015873025,33.0,18.0,346,2.0,340
22,146,194,4.992290249433106,6.524807256235827,32.0,25.0,82,2.0,48
23,146,242,4.992290249433106,6.524807256235827,32.0,37.0,116,2.0,96
24,146,255,4.992290249433106,6.9892063492063485,32.0,13.0,139,2.0,109
25,146,485,4.992290249433106,6.5015873015873025,32.0,18.0,345,2.0,339
26,194,49,6.524807256235827,8.544943310657597,25.0,24.0,169,2.0,145
27,194,146,6.524807256235827,9.102222222222222,25.0,29.0,121,3.0,48
28,194,242,6.524807256235827,8.568163265306122,25.0,37.0,100,2.0,48
29,194,485,6.524807256235827,8.568163265306122,25.0,18.0,304,2.0,291
30,146,49,7.058866213151928,8.544943310657597,28.0,24.0,116,1.0,97
31,146,242,7.058866213151928,8.568163265306122,28.0,37.0,116,2.0,96
32,146,239,7.058866213151928,9.729160997732428,28.0,16.0,148,3.0,93
33,146,485,7.058866213151928,8.568163265306122,28.0,18.0,345,2.0,339
34,146,519,7.058866213151928,9.636281179138322,28.0,6.0,389,3.0,373
35,49,194,8.544943310657597,10.611519274376418,24.0,30.0,170,2.0,145
36,49,146,8.544943310657597,11.168798185941043,24.0,30.0,149,3.0,97
37,49,239,8.544943310657597,9.729160997732428,24.0,16.0,197,1.0,190
38,49,242,8.544943310657597,10.611519274376418,24.0,40.0,213,2.0,193
39,49,261,8.544943310657597,11.099138321995463,24.0,22.0,239,3.0,212
40,49,519,8.544943310657597,9.636281179138322,24.0,6.0,472,1.0,470
41,49,485,8.544943310657597,10.611519274376418,24.0,23.0,445,2.0,436
42,146,194,9.102222222222222,10.611519274376418,29.0,30.0,81,2.0,48
43,146,242,9.102222222222222,10.611519274376418,29.0,40.0,116,2.0,96
